Date,Open,High,Low,Close,Adj Close,Volume
2015-06-25,1175.800049,1175.900024,1171.500000,1171.500000,1171.500000,95
2015-06-26,1170.500000,1172.900024,1170.500000,1172.900024,1172.900024,308
2015-06-28,null,null,null,null,null,null
2015-06-29,1185.099976,1186.000000,1173.800049,1178.500000,1178.500000,174
2015-06-30,1176.300049,1176.400024,1166.599976,1171.500000,1171.500000,223
2015-07-01,1173.099976,1173.099976,1166.599976,1169.000000,1169.000000,455
2015-07-02,1166.400024,1168.099976,1155.500000,1163.000000,1163.000000,316
2015-07-05,null,null,null,null,null,null
2015-07-06,1171.099976,1173.000000,1162.199951,1172.900024,1172.900024,634
2015-07-07,1166.800049,1166.800049,1149.500000,1152.400024,1152.400024,469
2015-07-08,1152.599976,1163.300049,1146.400024,1163.300049,1163.300049,65
2015-07-09,1154.800049,1163.599976,1154.800049,1159.000000,1159.000000,65
2015-07-10,1160.099976,1161.400024,1157.500000,1157.699951,1157.699951,27
2015-07-12,null,null,null,null,null,null
2015-07-13,1159.000000,1159.000000,1151.199951,1155.199951,1155.199951,14
2015-07-14,1157.199951,1157.199951,1153.000000,1153.300049,1153.300049,39
2015-07-15,1154.000000,1154.000000,1144.800049,1147.199951,1147.199951,15
2015-07-16,1146.199951,1146.199951,1142.900024,1143.800049,1143.800049,14
2015-07-17,1144.000000,1144.000000,1130.199951,1131.800049,1131.800049,120
2015-07-19,null,null,null,null,null,null
2015-07-20,1130.400024,1130.699951,1095.099976,1106.699951,1106.699951,189
2015-07-21,1097.099976,1106.400024,1097.099976,1103.400024,1103.400024,118
2015-07-22,1093.000000,1095.000000,1086.000000,1091.400024,1091.400024,46
2015-07-23,1097.400024,1097.599976,1087.800049,1094.000000,1094.000000,64
2015-07-24,1078.599976,1100.699951,1078.599976,1085.599976,1085.599976,52
2015-07-26,null,null,null,null,null,null
2015-07-27,1100.000000,1102.500000,1093.900024,1096.500000,1096.500000,19
2015-07-28,1097.199951,1097.699951,1096.300049,1096.300049,1096.300049,31
2015-07-29,1096.400024,1096.900024,1092.699951,1092.699951,1092.699951,159142
2015-07-30,1096.099976,1097.500000,1081.000000,1088.400024,1088.400024,49298
2015-07-31,1087.699951,1102.800049,1079.099976,1094.900024,1094.900024,5700
2015-08-02,null,null,null,null,null,null
2015-08-03,1095.500000,1097.099976,1085.000000,1089.400024,1089.400024,2418
2015-08-04,1085.099976,1093.900024,1080.500000,1090.699951,1090.699951,1139
2015-08-05,1086.500000,1090.599976,1082.500000,1085.699951,1085.699951,1207
2015-08-06,1084.400024,1092.199951,1083.599976,1090.199951,1090.199951,269
2015-08-07,1088.900024,1098.300049,1081.699951,1094.099976,1094.099976,614
2015-08-09,null,null,null,null,null,null
2015-08-10,1093.199951,1107.599976,1089.500000,1104.199951,1104.199951,900
2015-08-11,1103.800049,1116.699951,1094.000000,1107.599976,1107.599976,997
2015-08-12,1106.000000,1124.500000,1101.500000,1123.199951,1123.199951,797
2015-08-13,1124.300049,1124.300049,1113.000000,1115.699951,1115.699951,441
2015-08-14,1113.900024,1118.800049,1112.500000,1112.900024,1112.900024,908
2015-08-16,null,null,null,null,null,null
2015-08-17,1113.800049,1122.000000,1113.800049,1118.599976,1118.599976,399
2015-08-18,1118.199951,1118.400024,1110.000000,1117.099976,1117.099976,475
2015-08-19,1117.000000,1134.300049,1116.800049,1128.099976,1128.099976,348
2015-08-20,1132.800049,1153.300049,1132.800049,1153.000000,1153.000000,409
2015-08-21,1154.099976,1166.500000,1150.500000,1159.599976,1159.599976,261
2015-08-23,null,null,null,null,null,null
2015-08-24,1164.000000,1169.000000,1147.500000,1153.400024,1153.400024,299
2015-08-25,1151.500000,1155.500000,1134.000000,1138.199951,1138.199951,217
2015-08-26,1139.199951,1143.000000,1119.599976,1124.599976,1124.599976,116
2015-08-27,1127.199951,1127.400024,1118.400024,1122.400024,1122.400024,564
2015-08-28,1125.300049,1139.000000,1123.599976,1133.099976,1133.099976,279
2015-08-30,null,null,null,null,null,null
2015-08-31,1131.099976,1134.000000,1124.800049,1131.599976,1131.599976,194
2015-09-01,1133.500000,1144.699951,1133.500000,1138.699951,1138.699951,375
2015-09-02,1137.300049,1140.400024,1130.800049,1132.500000,1132.500000,201
2015-09-03,1130.300049,1132.900024,1120.300049,1123.699951,1123.699951,122
2015-09-04,1123.400024,1125.199951,1116.199951,1120.599976,1120.599976,51
2015-09-06,null,null,null,null,null,null
2015-09-08,1119.800049,1124.300049,1116.400024,1120.400024,1120.400024,138
2015-09-09,1123.500000,1123.500000,1102.099976,1102.199951,1102.199951,150
2015-09-10,1107.300049,1113.500000,1105.500000,1109.500000,1109.500000,56
2015-09-11,1110.800049,1111.699951,1098.199951,1103.500000,1103.500000,81
2015-09-13,null,null,null,null,null,null
2015-09-14,1107.800049,1108.599976,1104.099976,1107.699951,1107.699951,19
2015-09-15,1104.500000,1104.500000,1102.800049,1102.800049,1102.800049,8
2015-09-16,1109.800049,1119.900024,1109.800049,1119.199951,1119.199951,31
2015-09-17,1118.599976,1130.500000,1117.099976,1117.300049,1117.300049,14
2015-09-18,1128.300049,1141.199951,1127.800049,1138.099976,1138.099976,59
2015-09-20,null,null,null,null,null,null
2015-09-21,1137.599976,1138.500000,1130.800049,1133.099976,1133.099976,17
2015-09-22,1132.599976,1135.000000,1122.500000,1125.000000,1125.000000,43
2015-09-23,1128.599976,1132.199951,1128.300049,1131.599976,1131.599976,33
2015-09-24,1133.000000,1155.900024,1133.000000,1153.800049,1153.800049,37
2015-09-25,1149.800049,1149.800049,1143.400024,1146.000000,1146.000000,56
2015-09-27,null,null,null,null,null,null
2015-09-28,1133.199951,1133.199951,1132.000000,1132.000000,1132.000000,4346
2015-09-29,1132.199951,1134.400024,1124.300049,1127.099976,1127.099976,2417
2015-09-30,1124.300049,1126.000000,1112.099976,1115.500000,1115.500000,865
2015-10-01,1115.199951,1119.000000,1113.300049,1114.199951,1114.199951,1181
2015-10-02,1112.199951,1141.199951,1105.800049,1137.099976,1137.099976,323
2015-10-04,null,null,null,null,null,null
2015-10-05,1137.099976,1141.699951,1132.500000,1138.099976,1138.099976,226
2015-10-06,1136.300049,1150.000000,1136.300049,1146.800049,1146.800049,145
2015-10-07,1147.599976,1152.900024,1143.000000,1149.000000,1149.000000,104
2015-10-08,1142.699951,1146.699951,1138.699951,1144.699951,1144.699951,138
2015-10-09,1151.599976,1157.199951,1151.599976,1156.300049,1156.300049,22
2015-10-11,null,null,null,null,null,null
2015-10-12,1155.900024,1166.800049,1155.900024,1164.900024,1164.900024,40
2015-10-13,1163.500000,1166.199951,1154.900024,1165.800049,1165.800049,132
2015-10-14,1172.400024,1189.000000,1167.300049,1180.099976,1180.099976,143
2015-10-15,1184.199951,1188.300049,1177.800049,1187.900024,1187.900024,143
2015-10-16,1182.500000,1184.099976,1176.199951,1183.599976,1183.599976,243
2015-10-18,null,null,null,null,null,null
2015-10-19,1176.500000,1177.800049,1169.300049,1173.300049,1173.300049,62
2015-10-20,1168.699951,1179.099976,1168.699951,1178.000000,1178.000000,19
2015-10-21,1175.900024,1176.400024,1164.900024,1167.599976,1167.599976,41
2015-10-22,1166.199951,1168.599976,1163.500000,1166.599976,1166.599976,48
2015-10-23,1166.199951,1178.699951,1163.300049,1163.300049,1163.300049,38
2015-10-25,null,null,null,null,null,null
2015-10-26,1165.099976,1170.000000,1163.800049,1167.000000,1167.000000,176
2015-10-27,1164.500000,1166.800049,1162.000000,1166.800049,1166.800049,302
2015-10-28,1175.099976,1182.699951,1175.099976,1177.099976,1177.099976,217
2015-10-29,1158.000000,1162.000000,1144.900024,1147.199951,1147.199951,329
2015-10-30,1147.500000,1147.599976,1139.199951,1141.500000,1141.500000,249
2015-11-01,null,null,null,null,null,null
2015-11-02,1137.900024,1138.699951,1132.599976,1135.800049,1135.800049,180
2015-11-03,1133.300049,1134.699951,1114.199951,1114.199951,1114.199951,185
2015-11-04,1119.000000,1121.900024,1106.500000,1106.500000,1106.500000,141
2015-11-05,1107.900024,1110.699951,1104.400024,1104.400024,1104.400024,84
2015-11-06,1105.199951,1109.500000,1084.800049,1087.599976,1087.599976,78
2015-11-08,null,null,null,null,null,null
2015-11-09,1088.599976,1088.599976,1087.900024,1087.900024,1087.900024,5
2015-11-10,1090.099976,1091.300049,1085.000000,1088.199951,1088.199951,18
2015-11-11,1091.400024,1091.400024,1084.199951,1084.699951,1084.699951,15
2015-11-12,1086.000000,1086.599976,1080.800049,1080.800049,1080.800049,4
2015-11-13,1083.099976,1085.900024,1080.800049,1080.800049,1080.800049,23
2015-11-15,null,null,null,null,null,null
2015-11-16,1092.000000,1092.400024,1083.699951,1083.699951,1083.699951,11
2015-11-17,1075.500000,1075.800049,1065.099976,1068.699951,1068.699951,6
2015-11-18,1064.000000,1071.900024,1064.000000,1068.800049,1068.800049,5
2015-11-19,1077.400024,1082.400024,1077.400024,1078.000000,1078.000000,10
2015-11-20,1082.900024,1082.900024,1076.400024,1076.400024,1076.400024,5
2015-11-22,null,null,null,null,null,null
2015-11-23,1070.000000,1071.500000,1066.800049,1066.800049,1066.800049,57
2015-11-24,1073.199951,1079.400024,1073.199951,1074.300049,1074.300049,222
2015-11-25,1070.199951,1072.000000,1068.500000,1070.500000,1070.500000,148662
2015-11-27,1070.699951,1074.199951,1051.099976,1056.199951,1056.199951,52133
2015-11-29,null,null,null,null,null,null
2015-11-30,1056.500000,1068.400024,1052.099976,1065.800049,1065.800049,4601
2015-12-01,1064.599976,1074.599976,1063.400024,1063.800049,1063.800049,3441
2015-12-02,1068.699951,1069.500000,1049.599976,1054.199951,1054.199951,503
2015-12-03,1054.400024,1064.599976,1046.199951,1061.699951,1061.699951,1161
2015-12-04,1063.000000,1088.800049,1058.699951,1084.500000,1084.500000,889
2015-12-06,null,null,null,null,null,null
2015-12-07,1084.900024,1086.500000,1067.400024,1076.400024,1076.400024,656
2015-12-08,1071.000000,1078.400024,1069.599976,1076.300049,1076.300049,306
2015-12-09,1075.099976,1086.000000,1070.599976,1077.599976,1077.599976,386
2015-12-10,1073.000000,1076.300049,1071.699951,1073.099976,1073.099976,226
2015-12-11,1067.800049,1079.400024,1064.400024,1076.900024,1076.900024,410
2015-12-13,null,null,null,null,null,null
2015-12-14,1074.000000,1076.699951,1060.000000,1064.699951,1064.699951,509
2015-12-15,1064.599976,1066.199951,1061.800049,1062.900024,1062.900024,220
2015-12-16,1064.800049,1078.699951,1064.300049,1078.000000,1078.000000,81
2015-12-17,1072.599976,1072.599976,1050.500000,1050.800049,1050.800049,56
2015-12-18,1053.699951,1070.300049,1052.699951,1066.199951,1066.199951,253
2015-12-20,null,null,null,null,null,null
2015-12-21,1070.199951,1081.900024,1070.199951,1081.900024,1081.900024,26
2015-12-22,1078.599976,1078.599976,1073.800049,1074.800049,1074.800049,106
2015-12-23,1074.500000,1074.800049,1069.400024,1069.400024,1069.400024,202
2015-12-24,1074.300049,1077.800049,1073.500000,1077.199951,1077.199951,24
2015-12-27,null,null,null,null,null,null
2015-12-28,1077.900024,1098.800049,1070.500000,1070.500000,1070.500000,361
2015-12-29,1079.099976,1079.699951,1077.500000,1077.500000,1077.500000,252
2015-12-30,1068.599976,1070.199951,1059.699951,1060.099976,1060.099976,71
2015-12-31,1061.900024,1062.000000,1058.500000,1060.300049,1060.300049,10
2016-01-03,null,null,null,null,null,null
2016-01-04,1063.400024,1082.500000,1063.199951,1075.099976,1075.099976,143
2016-01-05,1075.599976,1081.500000,1075.300049,1078.400024,1078.400024,82
2016-01-06,1081.599976,1093.699951,1081.599976,1091.900024,1091.900024,52
2016-01-07,1091.599976,1109.400024,1091.599976,1107.699951,1107.699951,122
2016-01-08,1111.099976,1111.099976,1093.000000,1097.800049,1097.800049,98
2016-01-10,null,null,null,null,null,null
2016-01-11,1105.699951,1107.900024,1096.500000,1096.500000,1096.500000,43
2016-01-12,1093.800049,1098.500000,1084.000000,1085.599976,1085.599976,87
2016-01-13,1081.500000,1093.900024,1081.500000,1087.500000,1087.500000,50
2016-01-14,1091.500000,1091.500000,1073.699951,1073.900024,1073.900024,59
2016-01-15,1085.000000,1095.800049,1081.800049,1091.500000,1091.500000,44
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,1089.800049,1094.400024,1084.900024,1089.900024,1089.900024,17
2016-01-20,1099.800049,1109.800049,1099.800049,1107.099976,1107.099976,30
2016-01-21,1103.599976,1103.599976,1094.099976,1099.099976,1099.099976,16
2016-01-22,1098.000000,1103.199951,1097.199951,1097.199951,1097.199951,4
2016-01-24,null,null,null,null,null,null
2016-01-25,1099.300049,1109.300049,1099.300049,1106.199951,1106.199951,8
2016-01-26,1115.099976,1121.699951,1114.300049,1121.699951,1121.699951,181
2016-01-27,1117.800049,1117.800049,1115.800049,1116.099976,1116.099976,168706
2016-01-28,1125.400024,1125.699951,1109.800049,1115.599976,1115.599976,52861
2016-01-29,1114.400024,1118.599976,1108.800049,1116.400024,1116.400024,6955
2016-01-31,null,null,null,null,null,null
2016-02-01,1116.699951,1130.000000,1115.300049,1127.900024,1127.900024,1682
2016-02-02,1128.300049,1131.400024,1123.000000,1127.300049,1127.300049,1230
2016-02-03,1128.500000,1146.000000,1125.000000,1141.300049,1141.300049,1630
2016-02-04,1142.500000,1157.599976,1141.000000,1157.599976,1157.599976,771
2016-02-05,1155.599976,1174.800049,1146.000000,1157.800049,1157.800049,877
2016-02-07,null,null,null,null,null,null
2016-02-08,1173.500000,1200.400024,1165.000000,1197.900024,1197.900024,931
2016-02-09,1188.699951,1199.199951,1186.699951,1198.699951,1198.699951,700
2016-02-10,1189.800049,1197.699951,1182.099976,1194.699951,1194.699951,671
2016-02-11,1205.599976,1260.800049,1204.599976,1247.900024,1247.900024,995
2016-02-12,1247.800049,1247.800049,1233.500000,1239.099976,1239.099976,250
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,1233.099976,1233.599976,1193.599976,1207.900024,1207.900024,422
2016-02-17,1196.500000,1212.900024,1196.500000,1211.099976,1211.099976,53
2016-02-18,1209.599976,1239.199951,1201.599976,1226.099976,1226.099976,315
2016-02-19,1230.800049,1232.800049,1221.800049,1230.400024,1230.400024,76
2016-02-21,null,null,null,null,null,null
2016-02-22,1226.099976,1226.099976,1203.000000,1209.500000,1209.500000,280
2016-02-23,1207.400024,1226.099976,1207.400024,1222.300049,1222.300049,351
2016-02-24,1230.000000,1250.099976,1230.000000,1238.699951,1238.699951,111
2016-02-25,1239.400024,1241.500000,1235.000000,1238.199951,1238.199951,1349
2016-02-26,1232.400024,1239.099976,1212.199951,1219.800049,1219.800049,656
2016-02-28,null,null,null,null,null,null
2016-02-29,1218.599976,1241.000000,1218.599976,1233.900024,1233.900024,580
2016-03-01,1240.500000,1248.400024,1229.000000,1230.300049,1230.300049,477
2016-03-02,1232.800049,1242.599976,1226.000000,1241.099976,1241.099976,267
2016-03-03,1238.400024,1267.900024,1238.000000,1257.400024,1257.400024,123
2016-03-04,1263.000000,1279.900024,1250.900024,1269.900024,1269.900024,268
2016-03-06,null,null,null,null,null,null
2016-03-07,1259.800049,1272.300049,1259.699951,1263.199951,1263.199951,67
2016-03-08,1268.699951,1276.300049,1261.000000,1262.099976,1262.099976,43
2016-03-09,1254.500000,1260.000000,1244.800049,1256.599976,1256.599976,79
2016-03-10,1250.000000,1273.000000,1237.500000,1272.000000,1272.000000,119
2016-03-11,1270.000000,1280.699951,1249.400024,1258.699951,1258.699951,87
2016-03-13,null,null,null,null,null,null
2016-03-14,1256.000000,1258.000000,1234.500000,1244.400024,1244.400024,58
2016-03-15,1228.300049,1236.000000,1228.000000,1230.400024,1230.400024,37
2016-03-16,1229.500000,1263.800049,1228.900024,1229.300049,1229.300049,45
2016-03-17,1261.500000,1270.099976,1255.900024,1264.500000,1264.500000,27
2016-03-18,1257.099976,1264.400024,1251.500000,1253.800049,1253.800049,542
2016-03-20,null,null,null,null,null,null
2016-03-21,1256.199951,1256.199951,1243.400024,1243.800049,1243.800049,1061
2016-03-22,1244.000000,1252.400024,1243.800049,1248.199951,1248.199951,20
2016-03-23,1247.699951,1247.699951,1218.599976,1223.699951,1223.699951,28
2016-03-24,1214.199951,1221.400024,1214.199951,1221.400024,1221.400024,13
2016-03-27,null,null,null,null,null,null
2016-03-28,1211.500000,1222.199951,1210.000000,1219.900024,1219.900024,33
2016-03-29,1217.800049,1235.599976,1217.699951,1235.599976,1235.599976,189732
2016-03-30,1241.400024,1245.000000,1223.400024,1226.900024,1226.900024,48248
2016-03-31,1225.599976,1239.599976,1224.500000,1234.199951,1234.199951,3377
2016-04-01,1232.300049,1235.199951,1209.199951,1222.199951,1222.199951,1602
2016-04-03,null,null,null,null,null,null
2016-04-04,1221.699951,1222.300049,1215.000000,1218.000000,1218.000000,2038
2016-04-05,1215.400024,1236.699951,1215.400024,1228.400024,1228.400024,477
2016-04-06,1230.400024,1230.400024,1217.599976,1222.500000,1222.500000,248
2016-04-07,1224.800049,1242.900024,1224.599976,1236.199951,1236.199951,375
2016-04-08,1241.000000,1242.800049,1232.000000,1242.500000,1242.500000,409
2016-04-10,null,null,null,null,null,null
2016-04-11,1241.500000,1258.699951,1241.500000,1256.699951,1256.699951,437
2016-04-12,1260.000000,1261.699951,1253.699951,1259.400024,1259.400024,185
2016-04-13,1256.500000,1256.900024,1241.300049,1246.800049,1246.800049,203
2016-04-14,1231.400024,1243.699951,1224.500000,1225.000000,1225.000000,264
2016-04-15,1225.699951,1235.000000,1225.699951,1233.099976,1233.099976,97
2016-04-17,null,null,null,null,null,null
2016-04-18,1238.699951,1241.099976,1232.199951,1233.599976,1233.599976,304
2016-04-19,1231.599976,1256.199951,1228.800049,1253.000000,1253.000000,386
2016-04-20,1256.099976,1256.099976,1243.000000,1253.199951,1253.199951,180
2016-04-21,1247.699951,1270.599976,1247.599976,1249.000000,1249.000000,124
2016-04-22,1248.500000,1248.500000,1228.000000,1228.699951,1228.699951,188
2016-04-24,null,null,null,null,null,null
2016-04-25,1231.599976,1240.900024,1231.599976,1238.900024,1238.900024,442
2016-04-26,1239.800049,1244.199951,1233.000000,1242.199951,1242.199951,97
2016-04-27,1248.599976,1249.500000,1248.599976,1249.199951,1249.199951,547
2016-04-28,1245.900024,1270.099976,1238.500000,1265.500000,1265.500000,887
2016-04-29,1267.300049,1295.500000,1267.199951,1289.199951,1289.199951,464
2016-05-01,null,null,null,null,null,null
2016-05-02,1292.099976,1304.400024,1290.400024,1294.699951,1294.699951,192
2016-05-03,1292.699951,1301.500000,1284.500000,1290.699951,1290.699951,151
